,winner,loser,match score
347,Evgeny Donskoy,Matthew Ebden,763 46 62 
348,Jurgen Melzer,Taro Daniel,63 62 
349,Blake Mott,Tobias Kamke,62 64 
350,Denis Kudla,Darian King,46 64 64 
351,Rajeev Ram,Marcelo Arevalo,61 46 86 
352,Ernesto Escobedo,Tatsuma Ito,61 63 
353,Peter Polansky,Mirza Basic,64 63 
354,Tim Smyczek,Mohamed Safwat,64 63 
355,Julien Benneteau,Guilherme Clezar,75 60 
356,Go Soeda,Adrian Menendez-Maceiras,36 64 75 
357,James McGee,Vincent Millot,62 64 
358,Thomas Fabbiano,Akira Santillan,46 64 62 
359,Noah Rubin,Roberto Carballes Baena,64 36 62 
360,Yuki Bhambri,Pedja Krstin,63 64 
361,Alex Bolt,Matthias Bachinger,64 765 
362,Alexander Bublik,Kimmer Coppejans,672 64 62 
363,Ivan Dodig,Laslo Djere,63 16 62 
364,Andre Ghem,Yuya Kibi,26 63 61 
365,Duckhee Lee,Bradley Mousley,675 60 62 
366,Hiroki Moriya,Uladzimir Ignatik,46 62 63 
367,Reilly Opelka,Mitchell Krueger,63 762 
368,Casper Ruud,Jonathan Eysseric,63 36 63 
369,Jan Satral,Yasutaka Uchiyama,766 16 97 
370,John-Patrick Smith,Kenny De Schepper,64 63 
371,Marco Trungelliti,Peter Gojowczyk,50 (RET)
372,Luca Vanni,Alexander Sarkissian,36 63 62 
373,Di Wu,Miljan Zekic,64 62 
374,Radek Stepanek,Sekou Bangoura,63 672 62 
375,Frances Tiafoe,Marco Cecchinato,63 57 75 
376,Marco Trungelliti,Jozef Kovalik,63 63 
377,Yuichi Sugita,Marc Polmans,61 61 
378,Duckhee Lee,Nicolas Kicker,57 75 61 
379,Bjorn Fratangelo,Grega Zemlja,64 763 
380,Yuki Bhambri,Stefan Kozlov,61 64 
381,Miljan Zekic,Benjamin Becker,64 57 108 
382,Andre Ghem,Joao Souza,62 57 86 
383,Lukas Lacko,Jeremy Jahn,62 63 
384,Evgeny Donskoy,Dmitry Popko,36 61 97 
385,Jan Satral,Alessandro Giannessi,766 764 
386,Taro Daniel,Aldin Setkic,75 64 
387,Tobias Kamke,Dennis Novikov,765 64 
388,Alex Bolt,Marius Copil,672 64 64 
389,Mitchell Krueger,Marco Chiudinelli,16 64 63 
390,Alexander Bublik,Arthur De Greef,57 63 86 
391,Denis Kudla,Luke Saville,64 75 
392,Uladzimir Ignatik,Vasek Pospisil,36 63 64 
393,Rajeev Ram,Ilya Ivashka,64 64 
394,Ernesto Escobedo,Maximilian Marterer,765 75 
395,Peter Polansky,Tristan Lamasine,62 64 
396,Alexander Sarkissian,Henri Laaksonen,64 61 
397,Laslo Djere,Andrej Martin,60 62 
398,Tim Smyczek,Jordi Samper-Montana,63 63 
399,Julien Benneteau,Nikola Milojevic,63 63 
400,Kenny De Schepper,Norbert Gombos,64 57 97 
401,Casper Ruud,Teymuraz Gabashvili,64 64 
402,Go Soeda,Ruben Bemelmans,7610 63 
403,Vincent Millot,Riccardo Bellotti,63 61 
404,Thomas Fabbiano,Bradley Klahn,64 673 63 
405,Roberto Carballes Baena,Marinko Matosevic,64 62 
406,Marcelo Arevalo,Scott Jones,62 62 
407,Matthias Bachinger,Franko Skugor,766 63 
408,Mirza Basic,Lorenzo Giustino,36 63 62 
409,Guilherme Clezar,Kristijan Mesaros,62 61 
410,Kimmer Coppejans,Tennys Sandgren,61 765 
411,Ivan Dodig,Amir Weintraub,62 62 
412,Matthew Ebden,Andrey Golubev,61 62 
413,Jonathan Eysseric,Mathias Bourgue,16 63 62 
414,Peter Gojowczyk,Saketh Myneni,60 62 
415,Maximo Gonzalez,Enrique Lopez-Perez,764 764 
416,Tatsuma Ito,Daniel Masur,64 765 
417,Blaz Kavcic,Matteo Donati,62 33 (RET)
418,Yuya Kibi,Brian Baker,63 764 
419,Darian King,Jose Hernandez-Fernandez,62 62 
420,Pedja Krstin,Zdenek Kolar,36 61 75 
421,James McGee,Matija Pecotic,763 75 
422,Jurgen Melzer,Joris De Loore,62 36 63 
423,Adrian Menendez-Maceiras,Daniel Brands,36 767 64 
424,Hiroki Moriya,Harry Bourchier,62 63 
425,Blake Mott,Alexander Kudryavtsev,61 62 
426,Bradley Mousley,Marton Fucsovics,36 60 64 
427,Reilly Opelka,Stefano Napolitano,75 63 
428,Yannik Reuter,Steven Diez,63 26 64 
429,Noah Rubin,Cedrik-Marcel Stebe,57 64 64 
430,Andrey Rublev,Max Purcell,64 676 61 
431,Mohamed Safwat,Pedro Sousa,762 64 
432,Akira Santillan,Elias Ymer,63 764 
433,John-Patrick Smith,Agustin Velotti,766 63 
434,Stefanos Tsitsipas,Gavin Van Peperzeel,62 61 
435,Yasutaka Uchiyama,Marko Tepavac,64 762 
436,Luca Vanni,Federico Gaio,57 62 63 
437,Di Wu,Maverick Banes,61 61 
438,Alexander Zverev,Richard Gasquet,764 63 
439,Alexander Zverev,Jo-Wilfried Tsonga,676 62 64 
440,Richard Gasquet,Benoit Paire,62 62 
441,Jo-Wilfried Tsonga,Daniil Medvedev,62 75 
442,Richard Gasquet,Kenny De Schepper,62 57 64 
443,Alexander Zverev,Jeremy Chardy,64 46 62 
444,Benoit Paire,Dustin Brown,10 (RET)
445,Dustin Brown,Marin Cilic,64 64 
446,Jo-Wilfried Tsonga,Pierre-Hugues Herbert,61 62 
447,Richard Gasquet,Malek Jaziri,75 62 
448,Alexander Zverev,Aljaz Bedene,75 36 64 
449,Benoit Paire,Feliciano Lopez,64 765 
450,Daniil Medvedev,Fernando Verdasco,63 63 
451,Jeremy Chardy,Paul-Henri Mathieu,36 61 64 
452,Kenny De Schepper,Illya Marchenko,769 762 
453,Feliciano Lopez,Julien Benneteau,63 46 760 
454,Kenny De Schepper,Mischa Zverev,64 63 
455,Jeremy Chardy,Marcel Granollers,60 36 63 
456,Fernando Verdasco,Gregoire Barrere,62 61 
457,Aljaz Bedene,Borna Coric,75 46 61 
458,Dustin Brown,Guillermo Garcia-Lopez,764 63 
459,Pierre-Hugues Herbert,Calvin Hemery ,63 75 
460,Malek Jaziri,Tristan Lamasine,16 75 763 
461,Illya Marchenko,Quentin Halys,64 64 
462,Paul-Henri Mathieu,Vincent Millot,62 46 63 
463,Daniil Medvedev,Tobias Kamke,62 763 
464,Benoit Paire,Karen Khachanov,764 64 
465,Julien Benneteau,Stefano Napolitano,36 64 64 
466,Calvin Hemery ,Vincent Millot,63 64 
467,Kenny De Schepper,Gregoire Barrere,762 62 
468,Tristan Lamasine,Jonathan Eysseric,46 764 63 
469,Julien Benneteau,Fabrice Martin,64 64 
470,Vincent Millot,Corentin Moutet,63 63 
471,Kenny De Schepper,Aslan Karatsev,767 62 
472,Jonathan Eysseric,Albert Montanes,64 75 
473,Calvin Hemery ,Enrique Lopez-Perez,63 64 
474,Stefano Napolitano,Divij Sharan,64 60 
475,Gregoire Barrere,Jeremy Jahn,62 63 
476,Tristan Lamasine,Jordi Samper-Montana,764 60 
477,Victor Estrella Burgos,Paolo Lorenzi,672 75 766 
478,Paolo Lorenzi,Albert Ramos-Vinolas,61 64 
479,Victor Estrella Burgos,Thomaz Bellucci,764 763 
480,Albert Ramos-Vinolas,Roberto Carballes Baena,75 46 62 
481,Paolo Lorenzi,Rajeev Ram,63 64 
482,Thomaz Bellucci,Renzo Olivo,62 61 
483,Victor Estrella Burgos,Federico Gaio,64 64 
484,Victor Estrella Burgos,Ivo Karlovic,677 765 768 
485,Albert Ramos-Vinolas,Alejandro Falla,62 75 
486,Paolo Lorenzi,Matthew Ebden,64 64 
487,Thomaz Bellucci,Janko Tipsarevic,768 762 
488,Renzo Olivo,Santiago Giraldo,763 26 63 
489,Roberto Carballes Baena,Giovanni Lapentti,63 64 
490,Federico Gaio,Gerald Melzer,674 63 762 
491,Rajeev Ram,Nicolas Kicker,765 63 
492,Rajeev Ram,Alexandr Dolgopolov,36 764 63 
493,Gerald Melzer,Horacio Zeballos,674 63 764 
494,Giovanni Lapentti,Thiago Monteiro,63 62 
495,Renzo Olivo,Emilio Gomez,57 62 765 
496,Roberto Carballes Baena,Rogerio Dutra Silva,63 61 
497,Matthew Ebden,Agustin Velotti,26 64 63 
498,Victor Estrella Burgos,Andrej Martin,36 62 64 
499,Alejandro Falla,Alessandro Giannessi,64 63 
500,Federico Gaio,Joao Souza,57 64 75 
501,Santiago Giraldo,Benjamin Becker,64 64 
502,Nicolas Kicker,Guido Andreozzi,46 63 64 
503,Janko Tipsarevic,Daniel Gimeno-Traver,41 (RET)
504,Roberto Carballes Baena,Alexander Sarkissian,36 766 64 
505,Federico Gaio,Marco Cecchinato,673 765 64 
