,winner,loser,match score
1522,Daniel Brands,Pere Riba,6710 765 64 
1523,Alexander Zverev,Guido Pella,64 63 
1524,Alexander Zverev,Roberto Bautista Agut,75 75 
1525,Guido Pella,Hyeon Chung,46 75 64 
1526,Roberto Bautista Agut,Yannick Hanfmann,63 63 
1527,Alexander Zverev,Jan-Lennard Struff,36 763 765 
1528,Hyeon Chung,Martin Klizan,64 36 62 
1529,Guido Pella,Horacio Zeballos,63 675 763 
1530,Hyeon Chung,Gael Monfils,62 64 
1531,Roberto Bautista Agut,Marius Copil,46 763 75 
1532,Alexander Zverev,Jeremy Chardy,64 64 
1533,Guido Pella,Fabio Fognini,63 62 
1534,Horacio Zeballos,Philipp Kohlschreiber,765 64 
1535,Martin Klizan,Mischa Zverev,62 61 
1536,Jan-Lennard Struff,Tommy Haas,64 75 
1537,Yannick Hanfmann,Thomaz Bellucci,765 46 75 
1538,Philipp Kohlschreiber,Casper Ruud,64 63 
1539,Mischa Zverev,Dustin Brown,64 674 63 
1540,Jan-Lennard Struff,Daniel Masur,63 64 
1541,Thomaz Bellucci,Mikhail Kukushkin,63 62 
1542,Jeremy Chardy,Jozef Kovalik,62 64 
1543,Hyeon Chung,Maximilian Marterer,7610 46 63 
1544,Marius Copil,Thiago Monteiro,46 75 64 
1545,Tommy Haas,Sergiy Stakhovsky,16 63 64 
1546,Yannick Hanfmann,Gerald Melzer,64 57 61 
1547,Martin Klizan,Nicolas Kicker,46 64 63 
1548,Guido Pella,Cedrik-Marcel Stebe,60 62 
1549,Horacio Zeballos,Andreas Seppi,57 62 75 
1550,Jozef Kovalik,Jeremy Jahn,75 63 
1551,Yannick Hanfmann,Uladzimir Ignatik,64 763 
1552,Guido Pella,Yannick Mertens,63 64 
1553,Cedrik-Marcel Stebe,Jerzy Janowicz,7610 62 
1554,Cedrik-Marcel Stebe,Julien Benneteau,62 63 
1555,Yannick Hanfmann,Arthur De Greef,764 57 64 
1556,Yannick Mertens,Alexander Bublik,61 63 
1557,Jozef Kovalik,Yannick Maden,63 64 
1558,Uladzimir Ignatik,Charly Zick,61 63 
1559,Guido Pella,Jonathan Eysseric,75 62 
1560,Jerzy Janowicz,Matthias Bachinger,64 46 63 
1561,Jeremy Jahn,Sergiy Stakhovsky,(UNP)
1562,Rafael Nadal,Dominic Thiem,768 64 
1563,Rafael Nadal,Novak Djokovic,62 64 
1564,Dominic Thiem,Pablo Cuevas,64 64 
1565,Novak Djokovic,Kei Nishikori,(W/O)
1566,Rafael Nadal,David Goffin,763 62 
1567,Dominic Thiem,Borna Coric,61 64 
1568,Pablo Cuevas,Alexander Zverev,36 60 64 
1569,Borna Coric,Andy Murray,63 63 
1570,Novak Djokovic,Feliciano Lopez,64 75 
1571,Rafael Nadal,Nick Kyrgios,63 61 
1572,David Goffin,Milos Raonic,64 62 
1573,Kei Nishikori,David Ferrer,64 63 
1574,Dominic Thiem,Grigor Dimitrov,46 64 769 
1575,Alexander Zverev,Tomas Berdych,64 64 
1576,Pablo Cuevas,Benoit Paire,75 06 61 
1577,Andy Murray,Marius Copil,64 63 
1578,Novak Djokovic,Nicolas Almagro,61 46 75 
1579,Benoit Paire,Stan Wawrinka,75 46 62 
1580,Rafael Nadal,Fabio Fognini,763 36 64 
1581,Milos Raonic,Gilles Muller,64 64 
1582,Kei Nishikori,Diego Schwartzman,16 60 64 
1583,Alexander Zverev,Marin Cilic,673 63 64 
1584,Dominic Thiem,Jared Donaldson,63 64 
1585,David Goffin,Florian Mayer,763 60 
1586,David Ferrer,Jo-Wilfried Tsonga,(W/O)
1587,Tomas Berdych,Robin Haase,765 63 
1588,Grigor Dimitrov,Ivo Karlovic,63 75 
1589,Nick Kyrgios,Ryan Harrison,63 63 
1590,Borna Coric,Pierre-Hugues Herbert,75 64 
1591,Pablo Cuevas,Nicolas Mahut,57 64 64 
1592,Feliciano Lopez,Gilles Simon,63 36 763 
1593,David Goffin,Karen Khachanov,62 768 
1594,Jo-Wilfried Tsonga,Andrey Kuznetsov,765 675 75 
1595,Tomas Berdych,Denis Istomin,64 64 
1596,Grigor Dimitrov,Philipp Kohlschreiber,767 64 
1597,Pierre-Hugues Herbert,Lucas Pouille,765 674 63 
1598,Nicolas Mahut,Jack Sock,64 06 764 
1599,Gilles Simon,Gael Monfils,06 60 760 
1600,Nick Kyrgios,Marcos Baghdatis,761 64 
1601,Nicolas Almagro,Tommy Robredo,63 36 61 
1602,Marius Copil,Guillermo Garcia-Lopez,766 46 769 
1603,Borna Coric,Mischa Zverev,63 765 
1604,Pablo Cuevas,Thomaz Bellucci,762 46 766 
1605,Jared Donaldson,Adrian Mannarino,75 63 
1606,David Ferrer,Mikhail Kukushkin,26 761 64 
1607,Fabio Fognini,Joao Sousa,64 64 
1608,Robin Haase,Daniel Evans,75 62 
1609,Ryan Harrison,Bernard Tomic,75 46 62 
1610,Ivo Karlovic,Roberto Bautista Agut,764 679 767 
1611,Feliciano Lopez,Ernesto Escobedo,64 64 
1612,Florian Mayer,Marcel Granollers,75 75 
1613,Gilles Muller,Tommy Haas,64 767 
1614,Benoit Paire,Pablo Carreno Busta,63 64 
1615,Diego Schwartzman,Albert Ramos-Vinolas,61 63 
1616,Alexander Zverev,Fernando Verdasco,75 63 
1617,Adrian Mannarino,Santiago Giraldo,64 762 
1618,Mikhail Kukushkin,Borna Coric,762 63 
1619,Thomaz Bellucci,Mikhail Youzhny,62 63 
1620,Pierre-Hugues Herbert,Andreas Seppi,763 765 
1621,Denis Istomin,Jared Donaldson,763 64 
1622,Andrey Kuznetsov,Lukas Lacko,62 760 
1623,Ernesto Escobedo,Nicola Kuhn,63 62 
1624,Adrian Mannarino,Jaume Munar,36 763 63 
1625,Borna Coric,Enrique Lopez-Perez,26 762 62 
1626,Thomaz Bellucci,Evgeny Donskoy,765 62 
1627,Nicola Kuhn,Nikoloz Basilashvili,75 60 
1628,Andreas Seppi,Carlos Taberner,63 62 
1629,Denis Istomin,Inigo Cervantes,764 63 
1630,Andrey Kuznetsov,Casper Ruud,64 64 
1631,Mikhail Kukushkin,Daniel Munoz de la Nava,765 36 64 
1632,Jared Donaldson,Victor Estrella Burgos,61 75 
1633,Santiago Giraldo,Thiago Monteiro,64 57 764 
1634,Lukas Lacko,Alexandr Dolgopolov,64 36 75 
1635,Ernesto Escobedo,Ivan Dodig,60 63 
1636,Pierre-Hugues Herbert,Jerzy Janowicz,766 62 
1637,Mikhail Youzhny,Roberto Carballes Baena,36 63 64 
1638,Alexander Zverev,Novak Djokovic,64 63 
1639,Novak Djokovic,Dominic Thiem,61 60 
1640,Alexander Zverev,John Isner,64 675 61 
1641,Novak Djokovic,Juan Martin del Potro,61 64 
1642,Dominic Thiem,Rafael Nadal,64 63 
1643,Alexander Zverev,Milos Raonic,764 61 
1644,John Isner,Marin Cilic,763 26 762 
1645,Novak Djokovic,Roberto Bautista Agut,64 64 
1646,John Isner,Stan Wawrinka,761 64 
1647,Rafael Nadal,Jack Sock,63 64 
1648,Milos Raonic,Tomas Berdych,63 62 
1649,Marin Cilic,David Goffin,63 64 
1650,Juan Martin del Potro,Kei Nishikori,764 63 
1651,Dominic Thiem,Sam Querrey,36 63 767 
1652,Alexander Zverev,Fabio Fognini,63 63 
1653,Fabio Fognini,Andy Murray,62 64 
1654,Novak Djokovic,Aljaz Bedene,762 62 
1655,Stan Wawrinka,Benoit Paire,63 16 63 
1656,Rafael Nadal,Nicolas Almagro,30 (RET)
1657,Milos Raonic,Tommy Haas,64 63 
1658,Marin Cilic,Ryan Harrison,63 62 
1659,Kei Nishikori,David Ferrer,75 62 
1660,Dominic Thiem,Pablo Cuevas,764 64 
1661,David Goffin,Fernando Verdasco,36 63 62 
1662,Tomas Berdych,Carlos Berlocq,63 64 
1663,Jack Sock,Jiri Vesely,64 36 761 
1664,Roberto Bautista Agut,Pablo Carreno Busta,676 61 64 
1665,Alexander Zverev,Viktor Troicki,63 64 
1666,Juan Martin del Potro,Kyle Edmund,75 64 
1667,John Isner,Florian Mayer,764 764 
1668,Sam Querrey,Jan-Lennard Struff,64 63 
1669,David Goffin,Thomaz Bellucci,675 63 64 
1670,Juan Martin del Potro,Grigor Dimitrov,36 62 63 
1671,Sam Querrey,Lucas Pouille,766 768 
1672,Tomas Berdych,Mischa Zverev,767 64 
1673,Jack Sock,Diego Schwartzman,64 16 75 
1674,John Isner,Albert Ramos-Vinolas,674 764 61 
1675,Pablo Carreno Busta,Gilles Simon,63 63 
1676,Alexander Zverev,Kevin Anderson,64 46 64 
1677,Nicolas Almagro,Andreas Seppi,766 63 
1678,Roberto Bautista Agut,Alexandr Dolgopolov,64 62 
1679,Aljaz Bedene,Gianluca Mager,673 64 30 (RET)
1680,Carlos Berlocq,Robin Haase,63 75 
1681,Pablo Cuevas,Adrian Mannarino,64 762 
1682,Kyle Edmund,Joao Sousa,63 64 
1683,David Ferrer,Feliciano Lopez,46 63 61 
1684,Fabio Fognini,Matteo Berrettini,61 63 
1685,Tommy Haas,Ernesto Escobedo,60 46 761 
1686,Ryan Harrison,Jared Donaldson,26 760 63 
1687,Florian Mayer,Thiago Monteiro,64 62 
1688,Benoit Paire,Nicolas Mahut,63 64 
1689,Jan-Lennard Struff,Bernard Tomic,678 61 64 
1690,Viktor Troicki,Stefano Napolitano,761 62 
1691,Fernando Verdasco,Donald Young,63 63 
1692,Jiri Vesely,Daniel Evans,63 61 
1693,Jan-Lennard Struff,Denis Istomin,62 55 (RET)
1694,Adrian Mannarino,Jared Donaldson,64 61 
1695,Thiago Monteiro,Thomaz Bellucci,63 763 
1696,Aljaz Bedene,Renzo Olivo,63 64 
1697,Kevin Anderson,Ernesto Escobedo,62 63 
1698,Carlos Berlocq,Andrea Arnaboldi,61 75 
1699,Nicolas Almagro,Alexandr Dolgopolov,75 64 
1700,Jan-Lennard Struff,Taro Daniel,61 62 
1701,Adrian Mannarino,Salvatore Caruso,46 64 75 
1702,Thomaz Bellucci,Damir Dzumhur,62 63 
1703,Aljaz Bedene,Lukas Lacko,62 63 
1704,Kevin Anderson,Luca Vanni,46 61 62 
1705,Carlos Berlocq,Santiago Giraldo,62 61 
1706,Nicolas Almagro,Lorenzo Sonego,63 36 763 
1707,Jared Donaldson,Marius Copil,16 63 64 
1708,Renzo Olivo,Mikhail Kukushkin,61 41 (RET)
1709,Ernesto Escobedo,Alessandro Giannessi,63 64 
1710,Denis Istomin,Andrea Pellegrino,64 75 
1711,Andrea Arnaboldi,Victor Estrella Burgos,60 57 762 
1712,Alexandr Dolgopolov,Darian King,63 36 767 
1713,Thiago Monteiro,Pierre-Hugues Herbert,62 760 
1714,Stan Wawrinka,Mischa Zverev,46 63 63 
1715,Stan Wawrinka,Andrey Kuznetsov,63 764 
1716,Mischa Zverev,Kei Nishikori,64 36 63 
1717,Stan Wawrinka,Sam Querrey,46 75 62 
1718,Kei Nishikori,Kevin Anderson,26 64 766 
1719,Mischa Zverev,Steve Johnson,64 75 
1720,Andrey Kuznetsov,Cedrik-Marcel Stebe,62 16 75 
1721,Stan Wawrinka,Rogerio Dutra Silva,52 (RET)
1722,Kei Nishikori,Mikhail Kukushkin,64 63 
1723,Andrey Kuznetsov,Albert Ramos-Vinolas,75 61 
1724,Mischa Zverev,John Isner,64 675 63 
1725,Steve Johnson,Horacio Zeballos,61 63 
1726,Sam Querrey,Franko Skugor,62 63 
1727,Kevin Anderson,Jared Donaldson,63 677 62 
1728,Cedrik-Marcel Stebe,Janko Tipsarevic,64 01 (RET)
1729,Steve Johnson,Stephane Robert,63 63 
1730,Sam Querrey,Daniel Altmaier,63 64 
1731,Kevin Anderson,Paolo Lorenzi,75 761 
1732,Janko Tipsarevic,Ryan Harrison,64 765 
1733,Jared Donaldson,Victor Estrella Burgos,62 64 
1734,Rogerio Dutra Silva,Joao Sousa,64 765 
1735,Mikhail Kukushkin,Roberto Marcora,62 62 
1736,Andrey Kuznetsov,Thomaz Bellucci,36 64 61 
1737,Franko Skugor,Tommy Robredo,36 63 62 
1738,Cedrik-Marcel Stebe,Jan-Lennard Struff,63 46 762 
1739,Horacio Zeballos,Dusan Lajovic,64 06 75 
1740,Mischa Zverev,Robin Haase,57 766 63 
1741,Mischa Zverev,Tim Puetz,63 676 75 
1742,Roberto Marcora,Marco Chiudinelli,64 61 
1743,Daniel Altmaier,Petr Michnev,62 64 
1744,Franko Skugor,Cedrik-Marcel Stebe,75 57 763 
1745,Mischa Zverev,Louis Wessels,61 64 
1746,Marco Chiudinelli,Alejandro Falla,75 763 
1747,Petr Michnev,Raphael Baltensperger,62 64 
1748,Cedrik-Marcel Stebe,Jose Hernandez-Fernandez,26 64 63 
1749,Franko Skugor,Matteo Berrettini,16 63 62 
1750,Roberto Marcora,Pere Riba,30 (RET)
1751,Daniel Altmaier,Alexander Ward,64 63 
1752,Tim Puetz,Andre Ghem,21 (RET)
1753,Jo-Wilfried Tsonga,Tomas Berdych,762 75 
1754,Tomas Berdych,Milos Raonic,765 762 
1755,Jo-Wilfried Tsonga,Nikoloz Basilashvili,62 36 61 
1756,Milos Raonic,Gastao Elias,64 63 
1757,Jo-Wilfried Tsonga,Karen Khachanov,60 64 
1758,Tomas Berdych,Gilles Simon,64 60 
1759,Nikoloz Basilashvili,Nicolas Kicker,63 61 
1760,Milos Raonic,Denis Istomin,64 63 
1761,Jo-Wilfried Tsonga,Carlos Berlocq,672 62 63 
1762,Tomas Berdych,Hyeon Chung,63 75 
1763,Nicolas Kicker,Nick Kyrgios,26 64 62 
1764,Gilles Simon,Kyle Edmund,36 75 64 
1765,Gastao Elias,Juan Martin del Potro,760 64 
1766,Nikoloz Basilashvili,Andreas Seppi,64 64 
1767,Karen Khachanov,Jordan Thompson,62 763 
1768,Gilles Simon,Daniil Medvedev,75 675 62 
1769,Juan Martin del Potro,Quentin Halys,75 64 
1770,Nikoloz Basilashvili,Borna Coric,64 57 64 
1771,Jordan Thompson,Benoit Paire,673 765 64 
1772,Carlos Berlocq,Tennys Sandgren,62 64 
1773,Hyeon Chung,Donald Young,62 63 
1774,Kyle Edmund,Thiago Monteiro,26 64 61 
1775,Gastao Elias,Radu Albot,26 64 62 
1776,Denis Istomin,Thanasi Kokkinakis,63 64 
1777,Karen Khachanov,Renzo Olivo,62 64 
1778,Nicolas Kicker,Dustin Brown,64 64 
1779,Andreas Seppi,Damir Dzumhur,765 64 
1780,Kyle Edmund,Tennys Sandgren,63 64 
1781,Hyeon Chung,Quentin Halys,64 75 
1782,Nicolas Kicker,Peter Polansky,75 61 
1783,Gastao Elias,Renzo Olivo,16 63 61 
1784,Kyle Edmund,Nils Langer,63 75 
1785,Hyeon Chung,Michael Linzer,64 62 
1786,Nicolas Kicker,Alexandar Lazov,63 64 
1787,Renzo Olivo,Tomislav Brkic,57 62 64 
1788,Gastao Elias,Elliot Benchetrit,674 63 62 
1789,Tennys Sandgren,Alexandre Muller,60 64 
1790,Quentin Halys,Alex de Minaur,675 62 768 
1791,Peter Polansky,Andres Molteni,64 36 63 
1792,Rafael Nadal,Stan Wawrinka,62 63 61 
1793,Stan Wawrinka,Andy Murray,676 63 57 763 61 
1794,Rafael Nadal,Dominic Thiem,63 64 60 
1795,Andy Murray,Kei Nishikori,26 61 760 61 
1796,Dominic Thiem,Novak Djokovic,765 63 60 
1797,Stan Wawrinka,Marin Cilic,63 63 61 
1798,Rafael Nadal,Pablo Carreno Busta,62 20 (RET)
1799,Andy Murray,Karen Khachanov,63 64 64 
1800,Novak Djokovic,Albert Ramos-Vinolas,765 61 63 
1801,Stan Wawrinka,Gael Monfils,75 767 62 
1802,Rafael Nadal,Roberto Bautista Agut,61 62 62 
1803,Pablo Carreno Busta,Milos Raonic,46 762 676 64 86 
1804,Dominic Thiem,Horacio Zeballos,61 63 61 
1805,Marin Cilic,Kevin Anderson,63 30 (RET)
1806,Kei Nishikori,Fernando Verdasco,06 64 64 60 
1807,Andy Murray,Juan Martin del Potro,768 75 60 
1808,Novak Djokovic,Diego Schwartzman,57 63 36 61 61 
1809,Stan Wawrinka,Fabio Fognini,762 60 62 
1810,Rafael Nadal,Nikoloz Basilashvili,60 61 60 
1811,Milos Raonic,Guillermo Garcia-Lopez,61 10 (RET)
1812,Dominic Thiem,Steve Johnson,61 764 63 
1813,Marin Cilic,Feliciano Lopez,61 63 63 
1814,Kei Nishikori,Hyeon Chung,75 64 674 06 64 
1815,Horacio Zeballos,David Goffin,45 (RET)
1816,Pablo Carreno Busta,Grigor Dimitrov,75 63 64 
1817,Gael Monfils,Richard Gasquet,765 57 43 (RET)
1818,Albert Ramos-Vinolas,Lucas Pouille,62 36 57 62 61 
1819,Roberto Bautista Agut,Jiri Vesely,63 64 63 
1820,Karen Khachanov,John Isner,761 63 675 763 
1821,Fernando Verdasco,Pablo Cuevas,62 61 63 
1822,Kevin Anderson,Kyle Edmund,676 764 57 61 64 
1823,Andy Murray,Martin Klizan,673 62 62 763 
1824,Novak Djokovic,Joao Sousa,61 64 63 
1825,Stan Wawrinka,Alexandr Dolgopolov,64 765 75 
1826,Rafael Nadal,Robin Haase,61 64 63 
1827,Milos Raonic,Rogerio Dutra Silva,46 62 63 64 
1828,Dominic Thiem,Simone Bolelli,75 61 63 
1829,Marin Cilic,Konstantin Kravchuk,63 62 62 
1830,Kei Nishikori,Jeremy Chardy,63 60 765 
1831,David Goffin,Sergiy Stakhovsky,62 64 36 63 
1832,Grigor Dimitrov,Tommy Robredo,63 64 75 
1833,Karen Khachanov,Tomas Berdych,75 64 64 
1834,Gael Monfils,Thiago Monteiro,61 64 61 
1835,Lucas Pouille,Thomaz Bellucci,765 61 62 
1836,Roberto Bautista Agut,Mikhail Kukushkin,63 36 63 763 
1837,Kevin Anderson,Nick Kyrgios,57 64 61 62 
1838,Albert Ramos-Vinolas,Benjamin Bonzi,62 61 61 
1839,Pablo Carreno Busta,Taro Daniel,75 64 46 60 
1840,John Isner,Paolo Lorenzi,63 763 762 
1841,Pablo Cuevas,Nicolas Kicker,64 64 64 
1842,Horacio Zeballos,Ivo Karlovic,765 765 63 
1843,Richard Gasquet,Victor Estrella Burgos,61 60 64 
1844,Steve Johnson,Borna Coric,62 768 36 766 
1845,Fabio Fognini,Andreas Seppi,64 75 63 
1846,Juan Martin del Potro,Nicolas Almagro,63 36 11 (RET)
1847,Feliciano Lopez,David Ferrer,75 36 75 46 64 
1848,Nikoloz Basilashvili,Viktor Troicki,763 762 766 
1849,Hyeon Chung,Denis Istomin,61 75 61 
1850,Kyle Edmund,Renzo Olivo,75 63 61 
1851,Guillermo Garcia-Lopez,Marco Trungelliti,75 64 75 
1852,Diego Schwartzman,Stefano Napolitano,63 75 62 
1853,Fernando Verdasco,Pierre-Hugues Herbert,63 36 46 63 63 
1854,Jiri Vesely,Aljaz Bedene,63 63 46 63 
1855,Andy Murray,Andrey Kuznetsov,64 46 62 60 
1856,Novak Djokovic,Marcel Granollers,63 64 62 
1857,Stan Wawrinka,Jozef Kovalik,62 766 63 
1858,Rafael Nadal,Benoit Paire,61 64 61 
1859,Milos Raonic,Steve Darcis,63 64 62 
1860,Dominic Thiem,Bernard Tomic,64 60 62 
1861,Marin Cilic,Ernests Gulbis,63 63 63 
1862,Kei Nishikori,Thanasi Kokkinakis,46 61 64 64 
1863,Fernando Verdasco,Alexander Zverev,64 36 64 62 
1864,David Goffin,Paul-Henri Mathieu,62 62 62 
1865,Grigor Dimitrov,Stephane Robert,62 63 64 
1866,Renzo Olivo,Jo-Wilfried Tsonga,75 64 676 64 
1867,Tomas Berdych,Jan-Lennard Struff,61 61 46 64 
1868,Jiri Vesely,Jack Sock,75 75 63 
1869,Gael Monfils,Dustin Brown,64 75 60 
1870,Lucas Pouille,Julien Benneteau,766 36 46 63 64 
1871,Roberto Bautista Agut,John Millman,62 62 06 61 
1872,Nick Kyrgios,Philipp Kohlschreiber,63 764 63 
1873,Albert Ramos-Vinolas,Marius Copil,677 61 64 62 
1874,Pablo Carreno Busta,Florian Mayer,64 62 62 
1875,John Isner,Jordan Thompson,63 46 765 63 
1876,Pablo Cuevas,Maxime Hamou,63 62 64 
1877,Ivo Karlovic,Stefanos Tsitsipas,765 75 64 
1878,Richard Gasquet,Arthur De Greef,62 36 61 63 
1879,Steve Johnson,Yuichi Sugita,63 63 674 673 63 
1880,Guillermo Garcia-Lopez,Gilles Muller,764 672 62 62 
1881,Hyeon Chung,Sam Querrey,64 36 63 63 
1882,Fabio Fognini,Frances Tiafoe,64 63 36 16 60 
1883,Juan Martin del Potro,Guido Pella,62 61 64 
1884,David Ferrer,Donald Young,57 63 46 63 1311 
1885,Nikoloz Basilashvili,Gilles Simon,16 62 64 61 
1886,Stefano Napolitano,Mischa Zverev,46 75 62 62 
1887,Nicolas Almagro,Marcos Baghdatis,673 64 63 761 
1888,Kevin Anderson,Malek Jaziri,764 63 764 
1889,Aljaz Bedene,Ryan Harrison,64 60 36 61 
1890,Thomaz Bellucci,Dusan Lajovic,46 75 64 64 
1891,Simone Bolelli,Nicolas Mahut,64 62 62 
1892,Benjamin Bonzi,Daniil Medvedev,57 64 61 31 (RET)
1893,Jeremy Chardy,Radu Albot,62 64 763 
1894,Borna Coric,Mathias Bourgue,765 63 62 
1895,Taro Daniel,Jerzy Janowicz,64 64 64 
1896,Alexandr Dolgopolov,Carlos Berlocq,75 63 64 
1897,Rogerio Dutra Silva,Mikhail Youzhny,46 765 26 764 62 
1898,Kyle Edmund,Gastao Elias,63 62 75 
1899,Victor Estrella Burgos,Teymuraz Gabashvili,679 26 763 63 62 
1900,Robin Haase,Alex de Minaur,62 63 61 
1901,Pierre-Hugues Herbert,Jared Donaldson,64 765 64 
1902,Denis Istomin,Ernesto Escobedo,763 63 64 
1903,Karen Khachanov,Nicolas Jarry,64 36 764 61 
1904,Nicolas Kicker,Damir Dzumhur,63 26 63 64 
1905,Martin Klizan,Laurent Lokoli,764 63 46 06 64 
1906,Konstantin Kravchuk,Federico Delbonis,63 64 766 
1907,Mikhail Kukushkin,Tennys Sandgren,62 61 64 
1908,Feliciano Lopez,Bjorn Fratangelo,64 764 63 
1909,Paolo Lorenzi,Ricardas Berankis,60 62 64 
1910,Thiago Monteiro,Alexandre Muller,764 26 46 763 60 
1911,Tommy Robredo,Daniel Evans,57 64 63 61 
1912,Diego Schwartzman,Andrey Rublev,06 64 62 673 97 
1913,Andreas Seppi,Santiago Giraldo,46 61 62 62 
1914,Joao Sousa,Janko Tipsarevic,46 763 62 62 
1915,Sergiy Stakhovsky,Yen-Hsun Lu,63 64 764 
1916,Viktor Troicki,Evgeny Donskoy,764 64 60 
1917,Marco Trungelliti,Quentin Halys,36 674 762 64 64 
1918,Horacio Zeballos,Adrian Mannarino,75 63 64 
1919,Marius Copil,Peter Gojowczyk,64 675 767 
1920,Taro Daniel,Andrey Rublev,75 671 764 
1921,Jozef Kovalik,Norbert Gombos,16 64 63 
1922,Simone Bolelli,Marco Cecchinato,64 64 
1923,Santiago Giraldo,Guido Andreozzi,63 62 
1924,Guido Pella,Maxime Janvier,673 62 62 
1925,Bjorn Fratangelo,Gerald Melzer,57 765 761 
1926,Paul-Henri Mathieu,Denis Kudla,63 64 
1927,Sergiy Stakhovsky,Jan Satral,36 62 765 
1928,Arthur De Greef,Daniel Masur,63 64 
1929,Teymuraz Gabashvili,Pedro Sousa,46 766 62 
1930,Maxime Hamou,Roberto Quiroz,75 60 
1931,Nicolas Jarry,Reilly Opelka,764 36 63 
1932,Stefano Napolitano,Alexander Bublik,64 675 62 
1933,Marco Trungelliti,Matteo Donati,75 765 
1934,Stefanos Tsitsipas,Oscar Otte,63 62 
1935,Marius Copil,Ilya Ivashka,62 62 
1936,Taro Daniel,Matija Pecotic,63 62 
1937,Norbert Gombos,Yasutaka Uchiyama,763 63 
1938,Marco Cecchinato,Salvatore Caruso,62 61 
1939,Santiago Giraldo,Uladzimir Ignatik,62 64 
1940,Matteo Donati,Alessandro Giannessi,63 36 7610 
1941,Guido Pella,Marc Polmans,63 676 64 
1942,Gerald Melzer,Vincent Millot,61 62 
1943,Paul-Henri Mathieu,Alejandro Gonzalez,75 61 
1944,Maxime Hamou,Blaz Kavcic,767 75 
1945,Andrey Rublev,Mirza Basic,64 57 62 
1946,Maxime Janvier,Casper Ruud,764 64 
1947,Jozef Kovalik,Luca Vanni,64 64 
1948,Sergiy Stakhovsky,Stefan Kozlov,675 64 64 
1949,Guido Andreozzi,Tim Smyczek,61 16 63 
1950,Simone Bolelli,Maximilian Marterer,63 16 64 
1951,Alexander Bublik,Peter Polansky,64 26 763 
1952,Oscar Otte,Laslo Djere,75 26 762 
1953,Arthur De Greef,Maximo Gonzalez,36 60 765 
1954,Peter Gojowczyk,Joris De Loore,63 767 
1955,Bjorn Fratangelo,Bradley Klahn,64 766 
1956,Teymuraz Gabashvili,Mackenzie McDonald,46 62 75 
1957,Nicolas Jarry,Dmitry Popko,64 63 
1958,Denis Kudla,Ricardo Ojeda Lara,64 63 
1959,Daniel Masur,Filip Krajinovic,64 62 
1960,Stefano Napolitano,Marton Fucsovics,61 673 764 
1961,Reilly Opelka,Leonardo Mayer,57 767 63 
1962,Roberto Quiroz,Dennis Novikov,763 63 
1963,Jan Satral,Elias Ymer,64 36 64 
1964,Pedro Sousa,Steven Diez,63 75 
1965,Marco Trungelliti,Tobias Kamke,63 64 
1966,Stefanos Tsitsipas,Gleb Sakharov,63 63 
1967,Marius Copil,Denis Shapovalov,60 46 62 
1968,Daniel Masur,Adam Pavlasek,26 63 64 
1969,Nicolas Jarry,Facundo Bagnis,52 (RET)
1970,Taro Daniel,Hiroki Moriya,763 60 
1971,Norbert Gombos,Jason Jung,64 64 
1972,Stefanos Tsitsipas,Thomas Fabbiano,36 63 61 
1973,Dennis Novikov,Henri Laaksonen,62 63 
1974,Marco Cecchinato,Riccardo Bellotti,64 64 
1975,Santiago Giraldo,Grega Zemlja,61 64 
1976,Alessandro Giannessi,Calvin Hemery ,75 63 
1977,Steven Diez,Lukas Lacko,64 62 
1978,Elias Ymer,Andrej Martin,36 63 64 
1979,Guido Pella,Ramkumar Ramanathan,62 61 
1980,Marton Fucsovics,Darian King,64 62 
1981,Gerald Melzer,Constant Lestienne,62 62 
1982,Paul-Henri Mathieu,Tatsuma Ito,670 62 62 
1983,Blaz Kavcic,Tristan Lamasine,675 75 64 
1984,Andrey Rublev,Agustin Velotti,61 63 
1985,Casper Ruud,Yannik Reuter,63 62 
1986,Luca Vanni,Marco Chiudinelli,62 62 
1987,Sergiy Stakhovsky,Kenny De Schepper,64 36 762 
1988,Guido Andreozzi,Daniel Brands,61 64 
1989,Marco Trungelliti,Ruben Bemelmans,675 62 63 
1990,Maximilian Marterer,Brydan Klein,62 62 
1991,Peter Polansky,Yuki Bhambri,765 765 
1992,Ricardo Ojeda Lara,Duckhee Lee,62 63 
1993,Teymuraz Gabashvili,Roberto Carballes Baena,26 62 75 
1994,Laslo Djere,Benjamin Becker,62 26 63 
1995,Arthur De Greef,Enrique Lopez-Perez,762 60 
1996,Leonardo Mayer,Joao Souza,62 61 
1997,Peter Gojowczyk,Stefano Travaglia,64 675 64 
1998,Bjorn Fratangelo,Matthew Ebden,62 62 
1999,Mirza Basic,Blaz Rola,762 63 
2000,Simone Bolelli,Christian Garin,764 46 766 
2001,Alexander Bublik,Mohamed Safwat,676 63 61 
2002,Salvatore Caruso,Inigo Cervantes,75 64 
2003,Joris De Loore,Ti Chen,75 764 
2004,Matteo Donati,Jonathan Eysseric,64 63 
2005,Maximo Gonzalez,Marcelo Arevalo,75 61 
2006,Alejandro Gonzalez,Kristijan Mesaros,764 46 764 
2007,Maxime Hamou,Adrian Menendez-Maceiras,75 62 
2008,Uladzimir Ignatik,Di Wu,61 62 
2009,Ilya Ivashka,Kimmer Coppejans,62 62 
